ID,NAME,DATE,Regions,Crop_Type,LATITUDE,LONGITUDE,ELEVATION,Map_unit_code,Soil pH,SOM,ECE,AWC,HC,PRCP_In,TAVG_F,TMAX_F,TMIN_F,Max_WS_Mph,Avg_WS_Mph,TSR_MJ/MM,Avg_TSR_MJ/MM,Max_RH_Prct,Min_RH_Prct,Avg_DewP_F,Total_Eva_In,Avg_Tot_Evap_in,Avg_4inST_F,Avg_8inST_F,HTDD Heating degree days,CLDD cooling degree day,Nrate_lbac,Nrate_kgha,Yield_buac,Yield_Mgha
1,BROWNSTOWN,1999,Southern Illinois,Corn_Corn,38.95444,-88.95833,161.5,2,6.2,1.74,0.2,0.22,9.17,3.496666667,69.96666667,81.83333333,58.1,33.41666667,5.1,620.4883333,20.34833333,99.78333333,29.18333333,59.28333333,5.385,0.176666667,70.48333333,69.9,62,213,0,0,22.01,1.380511015
2,BROWNSTOWN,1999,Southern Illinois,Corn_Corn,38.95444,-88.95833,161.5,2,6.2,1.74,0.2,0.22,9.17,3.496666667,69.96666667,81.83333333,58.1,33.41666667,5.1,620.4883333,20.34833333,99.78333333,29.18333333,59.28333333,5.385,0.176666667,70.48333333,69.9,62,213,45,50.4,56.01,3.513632005
3,BROWNSTOWN,1999,Southern Illinois,Corn_Corn,38.95444,-88.95833,161.5,2,6.2,1.74,0.2,0.22,9.17,3.496666667,69.96666667,81.83333333,58.1,33.41666667,5.1,620.4883333,20.34833333,99.78333333,29.18333333,59.28333333,5.385,0.176666667,70.48333333,69.9,62,213,90,100.8,82.78,5.192614058
4,BROWNSTOWN,1999,Southern Illinois,Corn_Corn,38.95444,-88.95833,161.5,2,6.2,1.74,0.2,0.22,9.17,3.496666667,69.96666667,81.83333333,58.1,33.41666667,5.1,620.4883333,20.34833333,99.78333333,29.18333333,59.28333333,5.385,0.176666667,70.48333333,69.9,62,213,135,151.2,93.96,5.89410391
5,BROWNSTOWN,1999,Southern Illinois,Corn_Corn,38.95444,-88.95833,161.5,2,6.2,1.74,0.2,0.22,9.17,3.496666667,69.96666667,81.83333333,58.1,33.41666667,5.1,620.4883333,20.34833333,99.78333333,29.18333333,59.28333333,5.385,0.176666667,70.48333333,69.9,62,213,180,201.6,104.28,6.541385306
6,BROWNSTOWN,1999,Southern Illinois,Corn_Corn,38.95444,-88.95833,161.5,2,6.2,1.74,0.2,0.22,9.17,3.496666667,69.96666667,81.83333333,58.1,33.41666667,5.1,620.4883333,20.34833333,99.78333333,29.18333333,59.28333333,5.385,0.176666667,70.48333333,69.9,62,213,225,252,105.31,6.606081867
7,BROWNSTOWN,2000,Southern Illinois,Corn_Corn,38.95444,-88.95833,161.5,2,6.2,1.74,0.2,0.22,9.17,4.986666667,69.95,80.6,59.1,31.8,5.283333333,567.7216667,18.525,99.88333333,29.51666667,61.31666667,4.958333333,0.161666667,71.25,70.5,49.16666667,221,0,0,18.52,1.161495652
8,BROWNSTOWN,2000,Southern Illinois,Corn_Corn,38.95444,-88.95833,161.5,2,6.2,1.74,0.2,0.22,9.17,4.986666667,69.95,80.6,59.1,31.8,5.283333333,567.7216667,18.525,99.88333333,29.51666667,61.31666667,4.958333333,0.161666667,71.25,70.5,49.16666667,221,45,50.4,29.44,1.846865917
9,BROWNSTOWN,2000,Southern Illinois,Corn_Corn,38.95444,-88.95833,161.5,2,6.2,1.74,0.2,0.22,9.17,4.986666667,69.95,80.6,59.1,31.8,5.283333333,567.7216667,18.525,99.88333333,29.51666667,61.31666667,4.958333333,0.161666667,71.25,70.5,49.16666667,221,90,100.8,46.24,2.900725314
10,BROWNSTOWN,2000,Southern Illinois,Corn_Corn,38.95444,-88.95833,161.5,2,6.2,1.74,0.2,0.22,9.17,4.986666667,69.95,80.6,59.1,31.8,5.283333333,567.7216667,18.525,99.88333333,29.51666667,61.31666667,4.958333333,0.161666667,71.25,70.5,49.16666667,221,135,151.2,70.98,4.452639189
