ID,NAME,DATE,Regions,Crop_Type,LATITUDE,LONGITUDE,ELEVATION,PRCP_In,TAVG_F,TMAX_F,TMIN_F,Max_WS_Mph,Avg_WS_Mph,TSR_MJ/MM,Avg_TSR_MJ/MM,Max_RH_Prct,Min_RH_Prct,Avg_DewP_F,Total_Eva_In,Avg_Tot_Evap_in,Avg_4inST_F,Avg_8inST_F,HTDD Heating degree days,CLDD cooling degree day,Nrate_lbac,Nrate_kgha,Yield_buac,Yield_Mgha
1,BROWNSTOWN,1999,Southern Illinois,Corn_Soybean,38.95444,-88.95833,161.5,3.496666667,69.96666667,81.83333333,58.1,33.41666667,5.1,620.4883333,20.34833333,99.78333333,29.18333333,59.28333333,5.385,0.176666667,70.48333333,69.9,62,213,0,0,43.11,2.704190125
2,BROWNSTOWN,1999,Southern Illinois,Corn_Soybean,38.95444,-88.95833,161.5,3.496666667,69.96666667,81.83333333,58.1,33.41666667,5.1,620.4883333,20.34833333,99.78333333,29.18333333,59.28333333,5.385,0.176666667,70.48333333,69.9,62,213,45,50.4,67.72,4.248199201
3,BROWNSTOWN,1999,Southern Illinois,Corn_Soybean,38.95444,-88.95833,161.5,3.496666667,69.96666667,81.83333333,58.1,33.41666667,5.1,620.4883333,20.34833333,99.78333333,29.18333333,59.28333333,5.385,0.176666667,70.48333333,69.9,62,213,90,100.8,75.04,4.707527552
4,BROWNSTOWN,1999,Southern Illinois,Corn_Soybean,38.95444,-88.95833,161.5,3.496666667,69.96666667,81.83333333,58.1,33.41666667,5.1,620.4883333,20.34833333,99.78333333,29.18333333,59.28333333,5.385,0.176666667,70.48333333,69.9,62,213,135,151.2,88.07,5.524449424
5,BROWNSTOWN,1999,Southern Illinois,Corn_Soybean,38.95444,-88.95833,161.5,3.496666667,69.96666667,81.83333333,58.1,33.41666667,5.1,620.4883333,20.34833333,99.78333333,29.18333333,59.28333333,5.385,0.176666667,70.48333333,69.9,62,213,180,201.6,96.32,6.042400802
6,BROWNSTOWN,1999,Southern Illinois,Corn_Soybean,38.95444,-88.95833,161.5,3.496666667,69.96666667,81.83333333,58.1,33.41666667,5.1,620.4883333,20.34833333,99.78333333,29.18333333,59.28333333,5.385,0.176666667,70.48333333,69.9,62,213,225,252,97.52,6.117189329
7,BROWNSTOWN,2000,Southern Illinois,Corn_Soybean,38.95444,-88.95833,161.5,4.986666667,69.95,80.6,59.1,31.8,5.283333333,567.7216667,18.525,99.88333333,29.51666667,61.31666667,4.958333333,0.161666667,71.25,70.5,49.16666667,221,0,0,na,na
8,BROWNSTOWN,2000,Southern Illinois,Corn_Soybean,38.95444,-88.95833,161.5,4.986666667,69.95,80.6,59.1,31.8,5.283333333,567.7216667,18.525,99.88333333,29.51666667,61.31666667,4.958333333,0.161666667,71.25,70.5,49.16666667,221,45,50.4,na,na
9,BROWNSTOWN,2000,Southern Illinois,Corn_Soybean,38.95444,-88.95833,161.5,4.986666667,69.95,80.6,59.1,31.8,5.283333333,567.7216667,18.525,99.88333333,29.51666667,61.31666667,4.958333333,0.161666667,71.25,70.5,49.16666667,221,90,100.8,na,na
10,BROWNSTOWN,2000,Southern Illinois,Corn_Soybean,38.95444,-88.95833,161.5,4.986666667,69.95,80.6,59.1,31.8,5.283333333,567.7216667,18.525,99.88333333,29.51666667,61.31666667,4.958333333,0.161666667,71.25,70.5,49.16666667,221,135,151.2,na,na
